Player;_x;Apps_x;Mins_x;Goals_x;Assists_x;Yel;Red;SpG_x;PS%_x;AerialsWon;MotM;Rating_x;_y;Apps_y;Mins_y;Tackles;Inter;Fouls;Offsides;Clear;Drb_x;Blocks;OwnG;Rating_y;_x;Apps_x;Mins_x;Goals_y;Assists_y;SpG_y;KeyP_x;Drb_y;Fouled;Off;Disp;UnsTch;Rating_x;_y;Apps_y;Mins_y;Assists;KeyP_y;AvgP;PS%_y;Crosses;LongB;ThrB;Rating_y
"57
Óscar De Marcos
Athletic Club, 34, D(LR),M(CR)";;18(1);1585;1;4;3;-;0.2;82.9;0.6;2;6.87;;18(1);1585;2.4;0.5;0.9;0.3;1.1;1.1;0.2;-;6.87;;18(1);1585;1;4;0.2;0.8;0.2;0.6;0.1;0.2;0.6;6.87;;18(1);1585;4;0.8;43;82.9;1.1;2.2;-;6.87
"58
Samuel Lino
Atletico, 24, D(L),M(LR),FW";;14(8);1267;3;2;-;-;1.3;82.4;0.2;-;6.87;;14(8);1267;1.8;0.4;0.7;-;0.6;0.8;-;-;6.87;;14(8);1267;3;2;1.3;1;0.9;1.5;0.2;1.2;1.2;6.87;;14(8);1267;2;1;25.8;82.4;0.2;0.8;0.1;6.87
"59
Antonio Raíllo
Mallorca, 32, D(C)";;14(1);1213;2;-;1;1;1.1;85;4.7;1;6.86;;14(1);1213;1.1;1.1;0.9;0.1;3.4;0.3;1.1;-;6.86;;14(1);1213;2;-;1.1;0.2;-;0.5;0.1;0.1;0.3;6.86;;14(1);1213;-;0.2;39.1;85;-;1.9;-;6.86
"60
Luis Rioja
Deportivo Alaves, 30, AM(LR)";;25(1);2056;4;4;3;-;1.8;74.9;0.3;3;6.86;;25(1);2056;0.9;0.5;0.8;-;0.7;0.7;-;-;6.86;;25(1);2056;4;4;1.8;1.5;1.5;0.7;0.3;0.6;1.6;6.86;;25(1);2056;4;1.5;20.5;74.9;1.5;0.6;0.1;6.86
"61
Miguel Gutiérrez
Girona, 22, D(L),M(L)";;25;2222;1;4;3;-;1;88;0.7;-;6.85;;25;2222;0.9;0.7;0.7;0.1;1.8;0.7;0.4;-;6.85;;25;2222;1;4;1;1.1;0.9;0.6;0.2;1;1.7;6.85;;25;2222;4;1.1;44.3;88;0.9;1.2;0.2;6.85
"62
Mario Hermoso
Atletico, 28, D(CL)";;21;1852;-;1;7;-;0.7;86.9;2;1;6.85;;21;1852;1.7;1;1;0.1;3.1;0.9;0.4;-;6.85;;21;1852;-;1;0.7;0.6;0.4;0.9;-;0.4;0.8;6.85;;21;1852;1;0.6;62;86.9;0.3;4.6;-;6.85
"63
Unai Núñez
Celta Vigo, 27, D(C)";;25(1);2295;1;-;4;-;0.8;76.7;2.8;-;6.85;;25(1);2295;1.4;1.8;1;0.5;5;0.7;0.8;-;6.85;;25(1);2295;1;-;0.8;0.3;0.3;0.8;-;0.1;0.8;6.85;;25(1);2295;-;0.3;48.2;76.7;-;3.7;0.1;6.85
"64
David López
Girona, 34, D(C),DMC";;16;1265;2;-;3;-;0.6;91.8;1.4;-;6.85;;16;1265;1.5;0.9;0.6;0.3;2.5;0.2;0.8;-;6.85;;16;1265;2;-;0.6;0.2;0.3;0.8;0.1;0.1;0.6;6.85;;16;1265;-;0.2;62.8;91.8;-;1.5;-;6.85
"65
Jørgen Strand Larsen
Celta Vigo, 24, FW";;26;2071;9;2;4;-;2.2;70;2.3;1;6.84;;26;2071;0.5;0.1;1.9;-;0.5;0.8;-;-;6.84;;26;2071;9;2;2.2;0.7;1;1.3;0.7;1.4;3.3;6.84;;26;2071;2;0.7;15.9;70;0.1;0.4;-;6.84
"66
Renato Tapia
Celta Vigo, 28, D(C),DMC";;14(4);1222;-;-;3;1;1;75.9;2.2;1;6.84;;14(4);1222;2;0.9;1.2;-;2.4;0.6;0.4;-;6.84;;14(4);1222;-;-;1;0.3;1.5;1.4;0.1;0.6;1.1;6.84;;14(4);1222;-;0.3;34.1;75.9;0.1;2.8;0.1;6.84
